79,32
94,45
88,94
83,67
3,59
99,31
83,6
20,14
47,60
31,48
69,13
73,31
1,93
27,52
35,23
98,49
20,97
9,17
79,79
56,16
16,0
0,26
99,27
21,21
37,40
25,69
86,80
26,23
88,25
49,38
2,46
53,21
18,33
8,42
38,77
75,0
76,86
90,43
8,39
45,39
61,89
40,23
61,60
90,22
7,32
2,95
45,51
2,70
53,46
48,74
1,57
5,90
23,79
25,15
96,31
59,44
65,45
67,32
99,59
13,75
95,99
47,37
4,55
11,26
43,65
78,46
18,43
35,89
69,11
39,87
40,39
22,10
80,19
92,88
39,61
20,92
6,10
76,68
51,4
30,94
76,44
32,58
83,53
18,7
81,4
63,42
26,16
93,72
16,80
52,13
21,55
47,19
7,53
37,18
58,79
21,66
58,62
88,93
40,61
35,37
