"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"415029 (2011 UL21)","2024-Jun-27 20:16 ± < 00:01","0.04439","0.04439","25.88","25.88","15.9","1.7 km -  3.9 km","3"
"(2024 MK)","2024-Jun-29 13:49 ± < 00:01","0.00197","0.00197","9.37","9.22","22.0","100 m -  230 m","3"
"(2024 ON)","2024-Sep-17 10:19 ± < 00:01","0.00668","0.00668","8.88","8.83","20.4","220 m -  500 m","3"
"(2011 GA)","2023-Oct-15 07:09 ± < 00:01","0.01743","0.01743","16.59","16.59","20.7","190 m -  420 m","2"
"(1998 HH49)","2023-Oct-17 00:33 ± < 00:01","0.00784","0.00784","14.79","14.76","21.4","140 m -  310 m","2"
"(2023 VA)","2023-Nov-02 05:37 ± < 00:01","0.00018","0.00018","11.30","9.90","28.6","5.1 m -   11 m","2"
"363505 (2003 UC20)","2023-Nov-02 15:49 ± < 00:01","0.03511","0.03511","7.97","7.96","18.5","1.876±0.037 km","2"
"164121 (2003 YT1)","2023-Nov-03 12:33 ± < 00:01","0.05936","0.05936","23.25","23.25","16.2","1.717±0.550 km","2"
"(2023 VB2)","2023-Nov-07 07:00 ± < 00:01","0.00022","0.00022","18.02","17.34","28.2","6.0 m -   13 m","2"
"(2023 WA)","2023-Nov-17 03:41 ± < 00:01","0.00018","0.00018","17.95","17.12","28.5","5.3 m -   12 m","2"
"(2023 XJ2)","2023-Dec-05 02:40 ± < 00:01","0.00522","0.00522","6.12","6.04","24.3","37 m -   82 m","2"
"139622 (2001 QQ142)","2023-Dec-06 21:00 ± < 00:01","0.03694","0.03694","6.66","6.65","18.5","540 m -  1.2 km","2"
"(2020 YO3)","2023-Dec-23 02:44 ± < 00:01","0.00144","0.00144","16.45","16.34","24.7","30 m -   67 m","2"
"(2008 OS7)","2024-Feb-02 14:41 ± < 00:01","0.01908","0.01908","18.17","18.16","20.4","220 m -  500 m","2"
"(2024 CG2)","2024-Feb-08 03:42 ± < 00:01","0.00666","0.00666","9.18","9.13","23.1","64 m -  140 m","2"
"(2024 GD)","2024-Mar-26 02:00 ±    00:05","0.00212","0.00212","11.46","11.35","24.9","27 m -   61 m","2"
"439437 (2013 NK4)","2024-Apr-15 14:51 ± < 00:01","0.02177","0.02177","16.49","16.48","18.9","430 m -  970 m","2"
"(2024 HL1)","2024-Apr-26 01:40 ± < 00:01","0.00109","0.00109","12.10","11.90","26.0","17 m -   38 m","2"
"(2024 HT1)","2024-Apr-26 12:09 ± < 00:01","0.00240","0.00240","16.38","16.31","24.5","33 m -   74 m","2"
"(2024 JY16)","2024-May-15 01:10 ± < 00:01","0.00225","0.00225","16.81","16.74","25.1","26 m -   58 m","2"
"(2024 LQ5)","2024-Jun-12 20:47 ±    00:01","0.00302","0.00301","13.11","13.04","24.9","28 m -   63 m","2"
"523664 (2012 OD1)","2024-Jul-28 02:47 ± < 00:01","0.03822","0.03822","23.69","23.68","18.6","0.346±0.092 km","2"
"(2024 PC2)","2024-Jul-31 22:58 ± < 00:01","0.01424","0.01423","9.94","9.92","22.3","91 m -  200 m","2"
"(2024 PZ3)","2024-Aug-15 01:40 ± < 00:01","0.00185","0.00185","12.19","12.07","25.3","23 m -   51 m","2"
"(2024 SC)","2024-Sep-30 03:05 ± < 00:01","0.01092","0.01079","17.93","17.92","22.9","72 m -  160 m","2"
"(2023 TL4)","2023-Oct-08 10:14 ± < 00:01","0.03212","0.03212","34.44","34.44","20.0","260 m -  590 m","1"
"(2023 TM3)","2023-Oct-10 12:57 ± < 00:01","0.00111","0.00111","11.51","11.30","26.9","11 m -   24 m","1"
"(2023 TV3)","2023-Oct-12 12:52 ± < 00:01","0.00056","0.00056","14.21","13.87","27.8","7.5 m -   17 m","1"
"(2021 NT14)","2023-Oct-13 17:10 ± < 00:01","0.04764","0.04764","8.58","8.57","20.7","190 m -  430 m","1"
"(2023 QA4)","2023-Oct-16 08:14 ± < 00:01","0.05442","0.05442","11.76","11.75","20.8","190 m -  410 m","1"
"(2023 WH3)","2023-Oct-17 13:26 ±    02:22","0.03951","0.03908","12.81","12.81","22.5","83 m -  190 m","1"
"(2023 UR10)","2023-Oct-20 04:24 ±    00:32","0.00009","0.00009","12.21","9.58","30.0","2.7 m -  6.1 m","1"
"(2023 TK15)","2023-Oct-20 07:16 ± < 00:01","0.00254","0.00254","21.95","21.90","25.9","18 m -   39 m","1"
"(2023 UR1)","2023-Oct-21 01:17 ± < 00:01","0.00558","0.00558","8.22","8.16","24.7","31 m -   69 m","1"
"(2023 UN)","2023-Oct-21 09:38 ± < 00:01","0.00338","0.00338","11.24","11.16","26.1","16 m -   36 m","1"
"(2020 FM6)","2023-Oct-23 09:57 ± < 00:01","0.04302","0.04302","15.77","15.76","21.9","110 m -  240 m","1"
"(2019 HH4)","2023-Oct-24 10:46 ± < 00:01","0.03396","0.03396","20.02","20.01","19.8","290 m -  650 m","1"
"(2021 SZ4)","2023-Oct-26 05:28 ± < 00:01","0.03578","0.03578","29.97","29.97","20.5","210 m -  480 m","1"
"302169 (2001 TD45)","2023-Oct-26 23:00 ± < 00:01","0.03258","0.03258","25.68","25.68","20.0","270 m -  590 m","1"
"525229 (2004 UU1)","2023-Oct-30 10:41 ± < 00:01","0.02725","0.02725","17.43","17.42","21.2","160 m -  350 m","1"
"(2016 HV3)","2023-Oct-31 11:38 ± < 00:01","0.07100","0.07100","15.38","15.38","20.1","260 m -  570 m","1"
"(2023 VQ4)","2023-Nov-01 21:47 ± < 00:01","0.01859","0.01856","6.62","6.60","23.8","46 m -  100 m","1"
"(2023 VG)","2023-Nov-02 18:29 ± < 00:01","0.00076","0.00076","8.53","8.11","28.3","5.9 m -   13 m","1"
"(2023 VW1)","2023-Nov-03 14:37 ± < 00:01","0.00627","0.00626","13.83","13.80","24.7","31 m -   69 m","1"
"(2023 QP8)","2023-Nov-03 17:59 ± < 00:01","0.04380","0.04380","8.84","8.83","21.6","130 m -  290 m","1"
"(2023 VE1)","2023-Nov-04 00:36 ± < 00:01","0.00023","0.00023","6.46","4.31","30.2","2.4 m -  5.4 m","1"
"(2023 VD4)","2023-Nov-10 16:24 ± < 00:01","0.00097","0.00096","15.57","15.39","28.2","6.1 m -   14 m","1"
"(2014 HG4)","2023-Nov-10 21:15 ± < 00:01","0.08695","0.08695","24.64","24.64","19.9","0.975±0.087 km","1"
"(2023 WA2)","2023-Nov-18 21:48 ± < 00:01","0.01012","0.01009","12.98","12.96","25.0","26 m -   59 m","1"
"(2023 WE2)","2023-Nov-19 10:07 ± < 00:01","0.00162","0.00162","7.26","7.03","27.0","10 m -   23 m","1"
"(2019 UT6)","2023-Nov-24 07:46 ± < 00:01","0.02315","0.02315","13.20","13.20","21.9","110 m -  250 m","1"
"(2019 CZ2)","2023-Nov-25 18:30 ± < 00:01","0.00707","0.00707","5.84","5.77","24.6","32 m -   71 m","1"
"(2023 WN2)","2023-Nov-26 04:26 ± < 00:01","0.01893","0.01879","14.88","14.87","23.3","57 m -  130 m","1"
"(2023 XG4)","2023-Nov-30 03:31 ±    00:06","0.00117","0.00117","8.82","8.55","27.9","7.1 m -   16 m","1"
"(2023 XB1)","2023-Dec-01 03:07 ± < 00:01","0.03556","0.03553","15.17","15.16","22.5","85 m -  190 m","1"
"(2023 XG1)","2023-Dec-02 13:00 ±    00:02","0.01040","0.01026","13.81","13.80","24.0","43 m -   96 m","1"
"(2023 XJ)","2023-Dec-02 19:20 ± < 00:01","0.00071","0.00071","15.73","15.49","28.7","4.9 m -   11 m","1"
"(1998 WB2)","2023-Dec-03 12:28 ± < 00:01","0.02815","0.02815","14.21","14.20","21.9","0.150±0.007 km","1"
"(2013 VX4)","2023-Dec-04 16:37 ± < 00:01","0.01309","0.01309","6.58","6.55","23.8","46 m -  100 m","1"
"(2023 XJ1)","2023-Dec-06 18:57 ± < 00:01","0.00066","0.00066","20.04","19.84","27.6","7.9 m -   18 m","1"
"(2023 XQ10)","2023-Dec-08 16:46 ±    00:18","0.00149","0.00148","10.60","10.43","26.4","14 m -   31 m","1"
"(2023 XW5)","2023-Dec-09 02:10 ± < 00:01","0.00050","0.00050","5.92","4.93","28.7","4.9 m -   11 m","1"
"(2023 YA)","2023-Dec-14 02:29 ± < 00:01","0.01052","0.01051","10.06","10.04","25.0","27 m -   61 m","1"
"(2023 XZ11)","2023-Dec-15 03:12 ± < 00:01","0.00939","0.00933","14.70","14.68","25.2","24 m -   54 m","1"
"(2023 WV23)","2023-Dec-15 05:09 ± < 00:01","0.01329","0.01325","6.62","6.58","23.7","49 m -  110 m","1"
"341843 (2008 EV5)","2023-Dec-20 06:52 ± < 00:01","0.04225","0.04225","5.35","5.33","20.1","0.40±.050 km","1"
"(2018 YJ2)","2023-Dec-21 10:59 ± < 00:01","0.04698","0.04698","13.06","13.05","21.7","120 m -  270 m","1"
"(2017 WG2)","2023-Dec-22 15:35 ± < 00:01","0.05832","0.05832","20.94","20.94","20.2","240 m -  540 m","1"
"(2023 VD6)","2023-Dec-23 01:26 ± < 00:01","0.02719","0.02719","15.47","15.46","21.6","130 m -  280 m","1"
"310442 (2000 CH59)","2023-Dec-26 20:06 ± < 00:01","0.06228","0.06228","13.56","13.56","19.8","290 m -  650 m","1"
"(2023 YD)","2023-Dec-28 21:38 ± < 00:01","0.00404","0.00404","9.93","9.87","25.6","20 m -   45 m","1"
"(2019 KK5)","2024-Jan-02 21:21 ± < 00:01","0.02610","0.02610","20.83","20.83","22.8","74 m -  160 m","1"
"(2002 AY1)","2024-Jan-08 18:11 ± < 00:01","0.03879","0.03879","17.34","17.34","20.9","180 m -  400 m","1"
"(2021 CZ2)","2024-Jan-16 23:26 ± < 00:01","0.01999","0.01999","14.36","14.35","22.4","86 m -  190 m","1"
"(2024 AP2)","2024-Jan-19 00:22 ± < 00:01","0.01031","0.01029","5.89","5.84","24.6","32 m -   70 m","1"
"483508 (2003 CR1)","2024-Jan-20 01:39 ± < 00:01","0.08528","0.08528","11.91","11.91","20.0","0.202±0.025 km","1"
"(2024 BR2)","2024-Jan-22 11:58 ± < 00:01","0.00196","0.00196","4.04","3.69","27.1","10 m -   23 m","1"
"(2024 BJ)","2024-Jan-27 17:29 ± < 00:01","0.00236","0.00236","6.35","6.17","26.3","15 m -   33 m","1"
"(2024 BF1)","2024-Jan-27 22:59 ± < 00:01","0.02686","0.02682","26.02","26.02","23.3","59 m -  130 m","1"
"(2024 AT1)","2024-Jan-30 07:03 ± < 00:01","0.05126","0.05119","21.37","21.37","21.8","120 m -  260 m","1"
"(2024 CS)","2024-Feb-01 09:20 ± < 00:01","0.00681","0.00676","16.99","16.96","25.4","22 m -   49 m","1"
"(2019 CC5)","2024-Feb-04 07:10 ± < 00:01","0.04904","0.04904","14.96","14.96","22.0","110 m -  240 m","1"
"(2023 SP1)","2024-Feb-07 00:06 ± < 00:01","0.03665","0.03665","11.80","11.79","20.8","190 m -  420 m","1"
"(2024 CH4)","2024-Feb-11 06:10 ±    00:03","0.00073","0.00073","24.01","23.86","27.7","7.7 m -   17 m","1"
"(2024 CB1)","2024-Feb-13 08:07 ± < 00:01","0.00979","0.00977","17.55","17.53","24.1","39 m -   88 m","1"
"(2024 BR4)","2024-Feb-14 11:03 ± < 00:01","0.03072","0.03072","12.45","12.45","21.4","140 m -  310 m","1"
"(2024 CV8)","2024-Feb-19 19:21 ± < 00:01","0.00301","0.00301","17.10","17.05","26.3","15 m -   33 m","1"
"187026 (2005 EK70)","2024-Feb-20 02:28 ± < 00:01","0.09688","0.09688","15.11","15.11","17.4","900 m -  2.0 km","1"
"(2024 DW)","2024-Feb-22 04:37 ± < 00:01","0.00150","0.00150","17.90","17.80","27.1","9.9 m -   22 m","1"
"(2024 CA7)","2024-Feb-29 20:43 ± < 00:01","0.03805","0.03799","32.50","32.50","22.6","82 m -  180 m","1"
"(2024 ER)","2024-Mar-02 01:28 ± < 00:01","0.05874","0.05856","12.69","12.69","21.4","140 m -  310 m","1"
"(2024 EF)","2024-Mar-04 07:00 ± < 00:01","0.00039","0.00038","8.64","7.80","29.1","3.9 m -  8.8 m","1"
"(2024 EA)","2024-Mar-04 15:26 ± < 00:01","0.03544","0.03543","12.64","12.63","22.6","81 m -  180 m","1"
"(2024 DV1)","2024-Mar-07 02:03 ± < 00:01","0.06995","0.06915","17.43","17.43","20.3","240 m -  530 m","1"
"(2024 EJ2)","2024-Mar-08 01:50 ± < 00:01","0.00373","0.00372","14.80","14.76","26.4","14 m -   31 m","1"
"(2024 EL3)","2024-Mar-11 10:31 ±    00:05","0.00024","0.00024","13.71","12.88","28.8","4.7 m -   10 m","1"
"(2024 EG2)","2024-Mar-12 02:11 ± < 00:01","0.00429","0.00429","19.58","19.54","25.9","17 m -   39 m","1"
"(2024 EJ4)","2024-Mar-13 17:22 ± < 00:01","0.00018","0.00018","8.68","6.71","29.4","3.5 m -  7.9 m","1"
"(2024 ER4)","2024-Mar-17 09:14 ± < 00:01","0.00108","0.00108","8.30","8.00","27.4","9.0 m -   20 m","1"
"(2024 EN)","2024-Mar-18 18:34 ± < 00:01","0.00994","0.00994","11.97","11.95","24.4","34 m -   77 m","1"
"(2024 BD7)","2024-Mar-19 06:13 ± < 00:01","0.04818","0.04818","10.14","10.14","22.0","100 m -  230 m","1"
"(2024 EU4)","2024-Mar-23 12:53 ± < 00:01","0.04843","0.04841","28.30","28.30","22.1","100 m -  220 m","1"
"264993 (2003 DX10)","2024-Mar-24 17:16 ± < 00:01","0.05965","0.05965","12.58","12.57","20.4","220 m -  490 m","1"
"(2024 FO3)","2024-Mar-26 12:36 ± < 00:01","0.00091","0.00091","10.44","10.15","27.8","7.4 m -   17 m","1"
"(2024 ES5)","2024-Mar-27 03:00 ± < 00:01","0.00479","0.00479","10.10","10.05","25.4","22 m -   49 m","1"
"(2024 FK)","2024-Mar-29 17:42 ± < 00:01","0.00803","0.00800","19.15","19.13","25.1","25 m -   56 m","1"
"674942 (2015 TX143)","2024-Apr-05 05:57 ± < 00:01","0.09702","0.09702","15.22","15.21","19.7","300 m -  680 m","1"
"(2024 FH2)","2024-Apr-07 18:32 ± < 00:01","0.04104","0.04081","19.67","19.66","22.3","91 m -  200 m","1"
"(2024 ED6)","2024-Apr-08 08:47 ± < 00:01","0.01399","0.01399","6.70","6.67","24.2","39 m -   86 m","1"
"679656 (2020 BP13)","2024-Apr-09 02:32 ± < 00:01","0.03886","0.03886","6.80","6.79","21.1","160 m -  360 m","1"
"363599 (2004 FG11)","2024-Apr-11 09:36 ± < 00:01","0.05210","0.05210","24.74","24.74","21.0","0.152±0.003 km","1"
"(2024 GJ2)","2024-Apr-11 18:30 ± < 00:01","0.00012","0.00012","14.38","12.81","30.4","2.2 m -  5.0 m","1"
"(2024 HX)","2024-Apr-14 16:30 ± < 00:01","0.00142","0.00142","9.64","9.45","27.4","8.9 m -   20 m","1"
"517681 (2015 DE198)","2024-Apr-15 14:08 ± < 00:01","0.04699","0.04699","14.18","14.18","18.9","450 m -  1.0 km","1"
"(2024 GN2)","2024-Apr-16 14:19 ± < 00:01","0.00312","0.00311","18.51","18.46","26.3","15 m -   33 m","1"
"(2024 GS5)","2024-Apr-16 21:41 ± < 00:01","0.00464","0.00462","18.32","18.28","26.0","17 m -   37 m","1"
"(2024 HY)","2024-Apr-22 17:51 ± < 00:01","0.01471","0.01468","9.22","9.20","23.7","49 m -  110 m","1"
"(2024 JV)","2024-Apr-29 02:52 ±    00:01","0.00526","0.00524","13.76","13.72","24.6","31 m -   70 m","1"
"(2024 HO2)","2024-Apr-29 15:18 ± < 00:01","0.00025","0.00025","9.24","8.00","29.5","3.4 m -  7.6 m","1"
"(2022 TN1)","2024-Apr-30 23:57 ± < 00:01","0.04766","0.04766","17.74","17.73","20.2","240 m -  530 m","1"
"(2024 JA2)","2024-May-03 02:17 ± < 00:01","0.00858","0.00855","24.25","24.24","24.1","39 m -   88 m","1"
"(2024 JM2)","2024-May-04 03:23 ± < 00:01","0.01776","0.01771","11.78","11.77","23.8","47 m -  100 m","1"
"(2024 HK1)","2024-May-04 19:45 ± < 00:01","0.00461","0.00461","8.65","8.58","25.5","22 m -   48 m","1"
"(2024 FR5)","2024-May-05 21:34 ± < 00:01","0.01263","0.01263","5.19","5.15","24.3","36 m -   81 m","1"
"(2024 JA15)","2024-May-08 08:05 ± < 00:01","0.00688","0.00686","14.81","14.78","25.0","26 m -   59 m","1"
"(2024 JL3)","2024-May-08 15:36 ± < 00:01","0.00252","0.00251","18.49","18.43","26.4","14 m -   31 m","1"
"(2024 JT3)","2024-May-09 09:36 ± < 00:01","0.00017","0.00017","10.88","9.35","29.1","4.0 m -  8.9 m","1"
"(2024 JN3)","2024-May-09 12:50 ± < 00:01","0.00201","0.00201","13.02","12.92","26.9","11 m -   24 m","1"
"(2024 JB2)","2024-May-13 04:53 ± < 00:01","0.02966","0.02948","17.71","17.71","23.4","55 m -  120 m","1"
"(2015 KJ19)","2024-May-14 02:43 ± < 00:01","0.04039","0.04039","23.10","23.10","22.5","84 m -  190 m","1"
"(2024 JN16)","2024-May-14 09:49 ± < 00:01","0.00017","0.00017","9.26","7.34","29.6","3.2 m -  7.2 m","1"
"(2015 WO1)","2024-May-20 22:09 ± < 00:01","0.01906","0.01906","15.62","15.61","22.7","77 m -  170 m","1"
"(2017 TN6)","2024-May-22 04:04 ± < 00:01","0.06611","0.06611","15.99","15.99","21.2","160 m -  350 m","1"
"(2024 JG15)","2024-May-22 18:31 ± < 00:01","0.01702","0.01694","10.81","10.79","23.8","47 m -  100 m","1"
"(2024 JZ6)","2024-May-23 14:09 ± < 00:01","0.03739","0.03739","13.84","13.84","20.7","190 m -  430 m","1"
"(2024 HP)","2024-May-23 17:02 ± < 00:01","0.03958","0.03958","7.67","7.66","21.5","130 m -  290 m","1"
"388945 (2008 TZ3)","2024-May-25 14:33 ± < 00:01","0.07491","0.07491","7.66","7.66","20.4","220 m -  480 m","1"
"(2024 KR)","2024-May-29 06:27 ± < 00:01","0.04143","0.04141","17.11","17.11","21.6","130 m -  290 m","1"
"(2024 KP)","2024-May-29 10:08 ± < 00:01","0.00541","0.00541","12.23","12.19","25.8","18 m -   40 m","1"
"(2008 XH)","2024-May-31 13:03 ± < 00:01","0.03535","0.03535","14.69","14.69","23.2","61 m -  140 m","1"
"(2016 JC6)","2024-Jun-01 18:34 ± < 00:01","0.05083","0.05083","7.09","7.08","21.4","0.192±0.054 km","1"
"14827 Hypnos (1986 JK)","2024-Jun-02 20:59 ± < 00:01","0.07844","0.07844","13.95","13.94","18.8","0.9 km","1"
"(2024 LH1)","2024-Jun-06 14:02 ± < 00:01","0.00005","0.00005","17.40","14.30","30.8","1.8 m -  4.1 m","1"
"(2021 LW3)","2024-Jun-06 21:14 ± < 00:01","0.02479","0.02479","9.84","9.83","23.1","64 m -  140 m","1"
"(2024 CR9)","2024-Jun-11 00:03 ± < 00:01","0.04924","0.04924","7.38","7.37","19.5","340 m -  760 m","1"
"(2024 KC1)","2024-Jun-12 14:35 ± < 00:01","0.05729","0.05713","26.44","26.44","20.3","230 m -  520 m","1"
"(2024 LZ4)","2024-Jun-16 03:55 ± < 00:01","0.00186","0.00186","21.42","21.35","26.1","16 m -   36 m","1"
"(2024 LJ6)","2024-Jun-16 09:38 ± < 00:01","0.01437","0.01424","16.69","16.68","24.1","40 m -   89 m","1"
"504034 (2005 UJ159)","2024-Jun-16 20:55 ± < 00:01","0.07309","0.07309","31.81","31.81","17.6","800 m -  1.8 km","1"
"(2024 MC)","2024-Jun-19 19:28 ± < 00:01","0.01666","0.01662","14.34","14.33","24.0","43 m -   96 m","1"
"(2024 LO3)","2024-Jun-20 23:02 ± < 00:01","0.00481","0.00480","8.05","7.98","26.0","17 m -   38 m","1"
"(2024 LJ)","2024-Jun-22 00:01 ± < 00:01","0.02265","0.02264","18.50","18.49","23.6","50 m -  110 m","1"
"(2024 NA)","2024-Jun-27 04:53 ± < 00:01","0.01097","0.01094","10.80","10.78","24.9","28 m -   63 m","1"
"(2024 JJ25)","2024-Jun-30 19:36 ± < 00:01","0.02683","0.02683","9.35","9.34","22.4","88 m -  200 m","1"
"207398 (2006 AS2)","2024-Jul-02 05:33 ± < 00:01","0.05588","0.05588","18.11","18.11","20.4","220 m -  500 m","1"
"585310 (2017 YZ1)","2024-Jul-03 15:16 ± < 00:01","0.07133","0.07133","15.21","15.21","20.4","220 m -  490 m","1"
"(2014 GK1)","2024-Jul-04 09:57 ± < 00:01","0.09496","0.09496","6.93","6.92","19.8","290 m -  660 m","1"
"523808 (2007 ML24)","2024-Jul-05 12:48 ± < 00:01","0.09038","0.09038","17.90","17.90","19.3","360 m -  810 m","1"
"(2024 MT1)","2024-Jul-08 01:10 ± < 00:01","0.01008","0.01007","18.12","18.10","23.3","58 m -  130 m","1"
"187040 (2005 JS108)","2024-Jul-14 16:08 ± < 00:01","0.08673","0.08673","10.47","10.47","19.2","0.430±0.046 km","1"
"(2024 NG4)","2024-Jul-14 20:02 ± < 00:01","0.00369","0.00367","19.37","19.34","25.6","20 m -   46 m","1"
"(2024 KV)","2024-Jul-16 09:37 ± < 00:01","0.05654","0.05653","16.14","16.14","21.3","150 m -  330 m","1"
"(2024 NM3)","2024-Jul-17 14:49 ± < 00:01","0.00520","0.00520","7.37","7.30","25.2","25 m -   55 m","1"
"(2024 LY2)","2024-Jul-23 07:52 ± < 00:01","0.03071","0.03070","7.82","7.81","22.9","69 m -  150 m","1"
"(2024 OA)","2024-Jul-24 06:05 ± < 00:01","0.00601","0.00600","13.28","13.25","25.4","22 m -   48 m","1"
"(2011 MW1)","2024-Jul-25 13:29 ± < 00:01","0.02580","0.02580","8.04","8.03","22.4","90 m -  200 m","1"
"(2024 NN3)","2024-Jul-26 14:02 ± < 00:01","0.07049","0.07014","27.05","27.05","20.7","190 m -  430 m","1"
"(2011 AM24)","2024-Jul-26 15:57 ± < 00:01","0.04311","0.04311","6.20","6.19","20.5","0.511±0.004 km","1"
"(2024 PF2)","2024-Jul-28 17:13 ±    00:07","0.00233","0.00232","7.11","6.95","25.6","20 m -   45 m","1"
"(2024 OE)","2024-Aug-01 14:12 ± < 00:01","0.00995","0.00994","9.32","9.29","23.8","47 m -  100 m","1"
"(2024 NS1)","2024-Aug-02 00:05 ± < 00:01","0.01354","0.01354","7.58","7.56","24.5","34 m -   76 m","1"
"(2024 OM1)","2024-Aug-06 21:40 ± < 00:01","0.00935","0.00935","12.21","12.19","24.3","36 m -   81 m","1"
"(2024 KH3)","2024-Aug-10 15:13 ± < 00:01","0.03728","0.03727","11.42","11.42","21.3","150 m -  320 m","1"
"(2024 PP5)","2024-Aug-12 04:03 ± < 00:01","0.00406","0.00405","19.35","19.31","26.2","15 m -   34 m","1"
"(2024 PF6)","2024-Aug-13 23:00 ± < 00:01","0.00812","0.00812","13.04","13.02","25.2","24 m -   54 m","1"
"(2022 BF2)","2024-Aug-17 23:23 ± < 00:01","0.03394","0.03393","17.05","17.05","22.9","68 m -  150 m","1"
"(2024 QA)","2024-Aug-19 05:00 ± < 00:01","0.00473","0.00472","21.66","21.64","25.8","19 m -   42 m","1"
"(2024 JV33)","2024-Aug-19 10:07 ± < 00:01","0.03068","0.03068","11.08","11.07","21.3","150 m -  330 m","1"
"(2024 QG)","2024-Aug-28 16:09 ± < 00:01","0.01106","0.01103","22.40","22.39","24.7","30 m -   67 m","1"
"(2024 QH2)","2024-Aug-29 23:00 ± < 00:01","0.00222","0.00221","18.48","18.41","26.8","12 m -   26 m","1"
"(2024 RY)","2024-Aug-30 23:52 ± < 00:01","0.00605","0.00604","8.95","8.90","25.2","24 m -   53 m","1"
"(2024 RG10)","2024-Sep-03 04:12 ± < 00:01","0.01305","0.01302","12.67","12.65","23.8","47 m -  110 m","1"
"(2024 RL3)","2024-Sep-04 17:15 ± < 00:01","0.00027","0.00027","8.08","6.77","29.1","4.1 m -  9.1 m","1"
"(2024 RR3)","2024-Sep-07 07:51 ± < 00:01","0.00240","0.00240","16.62","16.55","26.9","11 m -   24 m","1"
"(2024 RA14)","2024-Sep-10 05:28 ± < 00:01","0.00862","0.00861","11.79","11.76","25.0","27 m -   59 m","1"
"(2024 QS1)","2024-Sep-12 06:03 ± < 00:01","0.03091","0.03090","14.27","14.27","22.1","100 m -  230 m","1"
"(2024 RQ)","2024-Sep-16 10:37 ± < 00:01","0.00350","0.00350","6.70","6.59","25.3","24 m -   53 m","1"
"(2013 FW13)","2024-Sep-18 06:29 ± < 00:01","0.02172","0.02172","15.56","15.55","21.7","120 m -  270 m","1"
"(2024 SA1)","2024-Sep-20 03:55 ± < 00:01","0.01288","0.01285","13.11","13.09","23.1","64 m -  140 m","1"
"(2024 RY15)","2024-Sep-21 06:59 ± < 00:01","0.00601","0.00600","13.56","13.53","25.6","21 m -   46 m","1"
"(2024 SE3)","2024-Sep-25 01:57 ± < 00:01","0.00297","0.00296","10.68","10.59","26.3","15 m -   32 m","1"
"(2024 TK)","2024-Sep-26 16:41 ±    00:02","0.02033","0.02016","15.63","15.63","23.1","62 m -  140 m","1"
"(2024 TL1)","2024-Sep-27 21:18 ±    00:07","0.02409","0.02388","23.67","23.66","23.4","56 m -  130 m","1"
"(2024 SR)","2024-Sep-28 04:35 ± < 00:01","0.00795","0.00792","16.89","16.87","25.4","22 m -   50 m","1"
"(2024 SV2)","2024-Sep-28 17:01 ± < 00:01","0.00033","0.00033","11.53","10.80","28.6","5.1 m -   11 m","1"
"(2024 TT)","2024-Sep-30 15:05 ±    00:01","0.00097","0.00096","7.45","7.07","27.6","8.0 m -   18 m","1"
"(2024 RO2)","2024-Oct-02 06:18 ± < 00:01","0.01075","0.01075","9.18","9.16","24.9","28 m -   62 m","1"
"(2024 TU3)","2024-Oct-03 15:02 ± < 00:01","0.00067","0.00067","8.58","8.10","28.3","5.8 m -   13 m","1"
"(2024 TS2)","2024-Oct-04 11:05 ±    00:01","0.00128","0.00128","15.86","15.73","27.0","10 m -   23 m","1"
"(2023 RG10)","2023-Oct-08 01:02 ±    00:01","0.08259","0.08254","2.63","2.62","25.4","23 m -   51 m","0"
"(2023 UA4)","2023-Oct-08 01:07 ±    00:19","0.03299","0.03238","11.84","11.84","26.3","14 m -   32 m","0"
"(2023 SA1)","2023-Oct-08 08:32 ±    00:02","0.04576","0.04563","5.89","5.88","25.7","19 m -   43 m","0"
"(2023 RL21)","2023-Oct-08 11:37 ± < 00:01","0.06282","0.06277","9.00","8.99","25.1","25 m -   56 m","0"
"(2023 TA1)","2023-Oct-08 12:51 ± < 00:01","0.02388","0.02381","8.34","8.32","26.5","13 m -   30 m","0"
"(2023 TM4)","2023-Oct-08 12:58 ± < 00:01","0.09451","0.09402","8.78","8.78","25.2","24 m -   54 m","0"
"(2018 ER1)","2023-Oct-08 14:03 ±    00:40","0.03208","0.03170","5.29","5.28","25.7","19 m -   43 m","0"
"(2023 TS5)","2023-Oct-08 14:15 ±    00:39","0.02302","0.02259","7.51","7.49","28.0","6.7 m -   15 m","0"
"(2023 TY10)","2023-Oct-08 16:03 ±    00:04","0.00393","0.00389","15.52","15.48","28.7","4.8 m -   11 m","0"
"(2023 TJ8)","2023-Oct-08 16:19 ± < 00:01","0.02668","0.02660","8.07","8.06","27.4","8.8 m -   20 m","0"
"(2023 UK)","2023-Oct-08 17:15 ±    00:11","0.03516","0.03469","12.90","12.90","26.1","16 m -   35 m","0"
"(2023 UF)","2023-Oct-09 00:04 ±    04:30","0.01251","0.01211","10.43","10.41","27.9","7.0 m -   16 m","0"
"(2023 UZ2)","2023-Oct-09 02:35 ±    00:35","0.03307","0.03298","3.77","3.75","26.9","11 m -   25 m","0"
